Line,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,"12 mth
avg"
1,69.0,70.8,78.2,78.7,75.0,72.2,70.8,68.5,63.9,67.9,69.8,63.7,68.9,70.7
3,74.4,75.6,78.3,76.4,74.6,74.4,72.1,72.3,66.6,68.3,59.5,57.8,68.1,70.5
5,79.3,77.7,81.6,83.0,81.9,81.3,80.8,78.1,68.1,70.6,63.3,62.8,75.5,75.5
6,76.3,76.8,82.5,81.2,80.1,80.3,80.0,77.9,69.4,73.8,66.4,62.1,74.7,75.6
8,60.7,61.5,70.3,70.6,66.0,66.0,56.9,56.4,56.2,60.8,50.8,52.2,61.5,61.2
11, , , ,83.9,84.4,86.6,81.9,83.1,80.2,88.6,82.0,75.7,81.1,82.7
12, , , ,82.7,83.7,83.5,80.1,80.5,81.4,75.3,77.4,74.0,81.3,80.0
16,69.1,68.5,77.2,77.3,73.2,73.3,66.9,65.1,58.4,61.7,49.7,49.7,65.5,65.8
19,69.3,71.5,75.9,77.7,75.7,76.2,71.9,76.2,75.7,78.5,69.6,65.0,67.8,73.5
48,75.5,78.8,81.5,81.0,70.5,73.6,70.0,71.3,73.5,79.4,66.8,66.3,69.3,73.6
55,78.5,78.5,81.0,81.4,80.5,79.5,77.4,77.6,77.3,78.4,71.6,72.9,76.4,77.7
57,85.9,85.2,88.0,86.9,86.8,81.2,86.3,80.7,84.3,83.6,76.5,77.0,84.3,83.5
59,82.6,82.7,84.4,86.4,83.9,83.6,81.0,78.7,77.9,82.4,75.0,77.3,78.5,81.1
64,74.7,76.0,78.0,78.5,76.1,77.3,76.1,76.7,68.1,65.1,55.4,53.0,65.5,70.7
67,72.8,71.1,72.1,73.9,70.7,70.6,70.5,70.0,58.4,65.1,53.3,51.1,64.0,66.1
70,70.2,70.2,76.7,75.0,75.6,76.9,75.1,68.8,69.7,61.4,62.9,63.8,67.9,70.5
72,69.3,66.3,76.7,76.7,72.6,76.0,71.5,69.5,61.7,68.4,54.7,55.8,68.3,68.4
75,66.8,65.1,72.9,74.9,71.9,75.7,71.3,67.3,72.9,73.4,66.0,62.1,68.9,70.2
78,57.5,60.5,64.6,64.1,64.9,70.2,63.1,62.7,62.2,68.3,61.8,63.2,61.6,64.0
82,86.8,83.8,89.3,86.6,86.0,84.9,87.3,83.0,86.4,91.8,86.8,88.5,85.9,86.7
86,71.5,75.5,80.7,82.4,78.8,81.8,76.8,77.4,67.1,76.0,62.1,56.3,70.9,73.9
96,74.0,76.9,75.7,74.0,72.0,74.6,68.6,69.0,60.2,64.2,60.5,69.9,74.0,70.2
109,71.2,69.2,76.4,75.1,71.8,77.5,73.2,73.6,76.3,73.7,68.0,65.7,71.9,72.7
112,65.3,76.0,79.3,81.4, , , , , , , , , ,78.7
City Shuttle, , , , , , , , , , , , , , 
Network total,72.7,73.7,78.3,78.5,76.5,77.3,74.3,73.4,70.6,73.5,66.2,65.2,72.0,73.3